long,lat,mag,X_mercator,Y_mercator
-180,-42,-242.58,-10669445.554195119,-2748085.652297438
-180,-41,-194.64,-10669445.554195119,-2668939.9483489143
-180,-40,-159.72,-10669445.554195119,-2590986.131252102
-180,-39,-143.28,-10669445.554195119,-2514165.778828651
-180,-38,-145.29,-10669445.554195119,-2438423.6574741653
-180,-37,-148.59,-10669445.554195119,-2363707.4712870806
-180,-36,-137.88,-10669445.554195119,-2289967.6343614184
-180,-35,-123.5,-10669445.554195119,-2217157.0636785803
-180,-34,-114.09,-10669445.554195119,-2145230.9903561836
-180,-33,-101.53,-10669445.554195119,-2074146.7872889389
-180,-32,-86.28,-10669445.554195119,-2003863.8114550377
-180,-31,-68.46,-10669445.554195119,-1934343.2593672343
-180,-30,-53.84,-10669445.554195119,-1865548.0343258735
-180,-29,-42.39,-10669445.554195119,-1797442.6242855263
-180,-28,-29.88,-10669445.554195119,-1729992.9892811559
-180,-27,-11.1,-10669445.554195119,-1663166.4574767638
-180,-26,17.82,-10669445.554195119,-1596931.6290016281
-180,-25,40.03,-10669445.554195119,-1531258.2868287156
-180,-24,32.04,-10669445.554195119,-1466117.314028258
-180,-23,10.12,-10669445.554195119,-1401480.616798391
-180,-22,9.96,-10669445.554195119,-1337321.0527354085
-180,-21,29.96,-10669445.554195119,-1273612.363859635
-180,-20,51.56,-10669445.554195119,-1210329.11396013
-180,-19,65.09,-10669445.554195119,-1147446.6298631658
-180,-18,69.36,-10669445.554195119,-1084940.94626637
-180,-17,66.9,-10669445.554195119,-1022788.7538131509
-180,-16,54.7,-10669445.554195119,-960967.3501110679
-180,-15,24.96,-10669445.554195119,-899454.5934235862
-180,-14,-7.75,-10669445.554195119,-838228.8587875245
-180,-13,-31.61,-10669445.554195119,-777268.9963288383
-180,-12,-52.76,-10669445.554195119,-716554.2915674171
-180,-11,-67.99,-10669445.554195119,-656064.4275175896
-180,-10,-61.66,-10669445.554195119,-595779.4484052088
-180,-9,-37.73,-10669445.554195119,-535679.7248347529
-180,-8,-17.4,-10669445.554195119,-475745.9202509508
-180,-7,-9.82,-10669445.554195119,-415958.95854917984
-180,-6,-18.85,-10669445.554195119,-356299.9926974128
-180,-5,-47.74,-10669445.554195119,-296750.37423989875
-180,-4,-88.26,-10669445.554195119,-237291.6235591521
-180,-3,-113.4,-10669445.554195119,-177905.40077825566
-180,0,-51.37,-10669445.554195119,0.0
-180,1,-30.45,-10669445.554195119,59277.70710340471
-180,2,-24.28,-10669445.554195119,118573.47719003899
-180,3,-24.55,-10669445.554195119,177905.40077825566
-180,4,-18.72,-10669445.554195119,237291.6235591521
-180,5,-4.88,-10669445.554195119,296750.37423989875
-180,6,4.53,-10669445.554195119,356299.9926974128
-180,7,6.63,-10669445.554195119,415958.95854917984
-180,8,6.09,-10669445.554195119,475745.9202509508
-180,9,3.98,-10669445.554195119,535679.7248347529
-180,10,0.62,-10669445.554195119,595779.4484052088
-180,11,-1.39,-10669445.554195119,656064.4275175896
-180,12,-1.1,-10669445.554195119,716554.2915674171
-180,13,-0.8,-10669445.554195119,777268.9963288383
-180,14,-0.5,-10669445.554195119,838228.8587875245
-180,15,0.96,-10669445.554195119,899454.5934235862
-180,16,2.97,-10669445.554195119,960967.3501110679
-180,17,3.93,-10669445.554195119,1022788.7538131509
-180,22,-6.83,-10669445.554195119,1337321.0527354085
-180,23,-5.03,-10669445.554195119,1401480.616798391
-180,24,-2.43,-10669445.554195119,1466117.314028258
-180,25,-0.37,-10669445.554195119,1531258.2868287156
-180,26,1.04,-10669445.554195119,1596931.6290016281
-180,27,1.84,-10669445.554195119,1663166.4574767638
-180,28,1.92,-10669445.554195119,1729992.9892811559
-180,29,1.1,-10669445.554195119,1797442.6242855263
-180,30,-0.32,-10669445.554195119,1865548.0343258735
-180,31,-0.97,-10669445.554195119,1934343.2593672343
-180,32,-0.81,-10669445.554195119,2003863.8114550377
